participant,word,word_class,icon,rt_z,icon_z,quantile,rt,acc
100,fukameru,Verb,1,0.17335418048203866,-1.063821766740176,1,2.6198,0
100,tsuyoi,Adj,2.3125,-0.08978328687020241,0.5367927555410339,4,2.1364,0
100,majimena,Adj,1.260869565,-0.11661960697873679,-0.7456872035705134,2,2.0871,1
100,kuchi,Noun,2.2,-0.4610281208259915,0.3995972250597875,4,1.4544,0
100,kasaneru,Verb,3.3,-0.07666451781106101,1.7410646342097533,5,2.1605,0
100,matomeru,Verb,2.363636364,0.7433946352012499,0.5991543607486971,4,3.667,1
100,mijikana,Adj,0.833333333,1.4511549476782541,-1.2670744048966758,1,4.9672,0
100,mizu,Noun,1.5,1.0162214838502843,-0.4540638534901912,2,4.1682,1
100,mitsumeru,Verb,1.923076923,0.4607151010762629,0.061885149935217675,3,3.1477,1
100,kebakeba,Mim,2,1.8144523115816171,0.15569405975979345,3,5.6346,1
100,tegaruna,Adj,0.8,1.038321982763195,-1.3077249320401696,1,4.2088,0
100,mamoru,Verb,2.714285714,2.0178748840878904,1.026776792625624,5,6.0083,0
100,harari,Mim,2.571428571,0.48869455043891336,0.852560245808555,4,3.1991,1
100,hiyohiyo,Mim,1,0.7768719919289347,-1.063821766740176,1,3.7285,1
100,noru,Verb,2.3,0.7028407640433229,0.5215488077097841,4,3.5925,0
100,karari,Mim,0.428571429,1.500037331973313,-1.7606879527889372,1,5.057,0
100,pekon,Mim,1,0.39147412911266133,-1.063821766740176,1,3.0205,0
100,kotoshi,Noun,1.944444444,0.7339229928100026,0.08794317996778805,3,3.6496,1
100,futsufutsu,Mim,3.2,1.1408225725489356,1.6191130515597567,5,4.3971,0
100,marena,Adj,1.083333333,0.2399278508527029,-0.9621954482716838,1,2.7421,1
100,wasureru,Verb,1.545454545,0.648678211288776,-0.39863131647633626,2,3.493,0
100,sakana,Noun,1.25,0.7091007575777681,-0.7589428101151835,2,3.604,0
100,yutakana,Adj,2.076923077,1.034457117189755,0.24950296958436924,3,4.2017,0
100,katsukatsu,Mim,1.333333333,0.4391045147008307,-0.6573164916466915,2,3.108,0
100,kagiri,Noun,1.642857143,1.6275778958968334,-0.2798473066731218,3,5.2913,0
100,betsuna,Adj,1.142857143,0.7170482276301939,-0.8896052199231064,2,3.6186,1
100,hoka,Noun,3,1.2159969296886635,1.3752098862597628,5,4.5352,0
100,busuri,Mim,1.625,0.1609974975923079,-0.301624375177695,2,2.5971,0
100,kasanaru,Verb,1.857142857,2.450630958860401,-0.018522487057275935,3,6.8033,0
100,yume,Noun,1.777777778,-0.08052938338450098,-0.1153094569691963,3,2.1534,1
100,debudebu,Mim,1.736842105,1.0526927505292254,-0.16523115806112365,3,4.2352,0
100,hanashi,Noun,1.05,0.5619092574287281,-1.0028459754151773,1,3.3336,1
100,machigau,Verb,1.2,1.466233366887309,-0.819918601440182,2,4.9949,0
100,yomu,Verb,2.125,-0.21873915367977198,0.3081335380722896,4,1.8995,1
100,sadameru,Verb,2.625,0.20928109989711494,0.9178914513222742,5,2.6858,0
100,nakama,Noun,2.142857143,0.46659405152600275,0.32991060657686283,4,3.1585,1
100,gakun,Mim,1.928571429,5.905766346789404,0.06858578696101672,3,13.1506,1
100,nosori,Mim,0.9,1.7736262667917575,-1.1857733493901728,1,5.5596,1
100,jimoto,Noun,1.285714286,2.439635144130332,-0.7153886731060373,2,6.7831,1
100,haha,Noun,2.357142857,1.6928451328342224,0.5912354261927087,4,5.4112,1
100,toboshii,Adj,1.8,1.4272581027945899,-0.08820910554020034,3,4.9233,0
100,gusha,Mim,2.75,1.0874765406901858,1.0703309296347705,5,4.2991,1
100,kitanai,Adj,1.909090909,0.13111283280613054,0.04482898451256741,3,2.5422,1
100,nemui,Adj,3.583333333,0.9649984063206072,2.08659411797824,5,4.0741,1
100,namida,Noun,1.8,0.7343584706210944,-0.08820910554020034,3,3.6504,0
100,samui,Adj,2.769230769,0.7528118428661109,1.0937831567860354,5,3.6843,1
100,noberu,Verb,0.928571429,0.6718674047294163,-1.1509300395389526,1,3.5356,1
100,takumina,Adj,0.944444444,0.05838803835379418,-1.1315726465321811,1,2.4086,1
101,takumina,Adj,0.944444444,2.2833530446747505,-1.1315726465321811,1,6.496,1
101,yume,Noun,1.777777778,0.3422107017328975,-0.1153094569691963,3,2.93,0
101,kuchi,Noun,2.2,0.12958866046730927,0.3995972250597875,4,2.5394,1
101,betsuna,Adj,1.142857143,0.9428434726813105,-0.8896052199231064,2,4.0334,1
101,kotori,Mim,1.7,2.929983159419738,-0.21016068819019737,3,7.6839,1
101,funyafunya,Mim,3.833333333,1.6584423857579673,2.391473074603232,5,5.348,1
101,kasaneru,Verb,3.3,1.369230684466603,1.7410646342097533,5,4.8167,0
101,tegami,Noun,0.3,2.7022826989450945,-1.9174828452901542,1,7.2656,1
101,mizu,Noun,1.5,2.2937500774145683,-0.4540638534901912,2,6.5151,1
101,kotoshi,Noun,1.944444444,0.9068621185398473,0.08794317996778805,3,3.9673,1
101,haha,Noun,2.357142857,-0.1284863773309892,0.5912354261927087,4,2.0653,1
101,kurai,Adj,2.166666667,1.4779912677867884,0.35894669791629347,4,5.0165,1
101,pekon,Mim,1,1.2603067969672577,-1.063821766740176,1,4.6166,0
101,kasanaru,Verb,1.857142857,2.566087013526124,-0.018522487057275935,3,7.0154,0
101,noru,Verb,2.3,1.7588744559410217,0.5215488077097841,4,5.5325,1
101,hirogeru,Verb,2.692307692,0.7251590018617796,0.9999742469614596,5,3.6335,1
101,buwabuwa,Mim,1.272727273,1.1518183872790044,-0.7312265409984979,2,4.4173,0
101,namida,Noun,1.8,0.8429013150357343,-0.08820910554020034,3,3.8498,1
101,hiku,Verb,2.352941176,-0.29592759569579963,0.5861114097153044,4,1.7577,1
101,furina,Adj,1.222222222,2.021794184387717,-0.7928182500111861,2,6.0155,1
101,futsufutsu,Mim,3.2,1.5053175004328012,1.6191130515597567,5,5.0667,0
101,yutakana,Adj,2.076923077,-0.01863709948307392,0.24950296958436924,3,2.2671,0
101,samui,Adj,2.769230769,0.846167398618923,1.0937831567860354,5,3.8558,1
101,machigau,Verb,1.2,4.643098433528628,-0.819918601440182,2,10.831,1
101,hana,Noun,2.857142857,2.0853195100807382,1.2009933394426933,5,6.1322,0
101,naritatsu,Verb,1.181818182,0.1736807888403575,-0.842091616245724,2,2.6204,1
101,marui,Adj,3.666666667,2.9114209177219483,2.1882204376662475,5,7.6498,0
101,mijikana,Adj,0.833333333,2.3213484836925127,-1.2670744048966758,1,6.5658,1
101,garan,Mim,1.75,-0.1552682627131372,-0.14918489686519887,3,2.0161,1
101,chirochiro,Mim,2.133333333,1.2165412769525283,0.318296169553284,4,4.5362,1
