session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,FilePath,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_3.keys,key_resp_3.rt,slider_2.response,slider_2.rt,key_resp_4.keys,key_resp_4.rt
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,k,24.9031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,k,3.3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,1,3.4369,0,0,0,0,1,Left,AttentionCheck,Check_Left.mp3,to compare,to trust,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,0,2.6198,0,1,1,1,1,fukameru,Verb,079-fukameru.mp3,to deepen,to call,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,0,2.1364,0,2,2,2,1,tsuyoi,Adj,018-tsuyoi.mp3,strong,dark,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,2.0871,0,3,3,3,1,majimena,Adj,010-majimena.mp3,serious,equal,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,0,1.4544,0,4,4,4,1,kuchi,Noun,067-kuchi.mp3,mouth,flower,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,0,2.1605,0,5,5,5,1,kasaneru,Verb,100-kasaneru.mp3,to stack,to go,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,1,3.667,0,6,6,6,1,matomeru,Verb,095-matomeru.mp3,to summarize,to show,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,0,4.9672,0,7,7,7,1,mijikana,Adj,003-mijikana.mp3,familiar,awkward,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,4.1682,0,8,8,8,1,mizu,Noun,060-mizu.mp3,water,land,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,3.1477,0,9,9,9,1,mitsumeru,Verb,088-mitsumeru.mp3,to stare,to pull,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
