session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,Definition,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,TargetTime,FoilTime,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_4.keys,key_resp_4.rt,slider_2.response,slider_2.rt,key_resp_5.keys,key_resp_5.rt
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,s,15.3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,s,1.8831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,2.6684,0,0,0,0,1,Left,AttentionCheck,to compare,Check_Left.mp3,silence.mp3,-0.3,0,0.3,0,0.5,10,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,3.1011,0,1,1,1,1,tsuma,Noun,wife,053-tsuma.mp3,055-hanashi.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,2.1197,0,2,2,2,1,hiratai,Adj,flat,022-hiratai.mp3,011-toboshii.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.2152,0,3,3,3,1,kasanaru,Verb,to overlap,087-kasanaru.mp3,083-miseru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.7094,0,4,4,4,1,kotoba,Noun,word,072-kotoba.mp3,054-mukashi.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.6975,0,5,5,5,1,Right,AttentionCheck,to trust,Check_Right.mp3,silence.mp3,0.3,0,-0.3,0,0.5,10,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.4343,0,6,6,6,1,hoka,Noun,other,075-hoka.mp3,068-hitotsu.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
