Romaji,POS,Rating,quantile
betsuna,adjective,1.142857143,2
burari,mimetic,2.153846154,4
busuri,mimetic,1.625,2
buwabuwa,mimetic,1.272727273,2
chikaku,noun,2.769230769,5
chirochiro,mimetic,2.133333333,4
debudebu,mimetic,1.736842105,3
fukameru,verb,1,1
funyafunya,mimetic,3.833333333,5
furina,adjective,1.222222222,2
furui,adjective,1.909090909,3
futsufutsu,mimetic,3.2,5
gakun,mimetic,1.928571429,3
garan,mimetic,1.75,3
gatan,mimetic,3.411764706,5
goshagosha,mimetic,1.5,2
gusha,mimetic,2.75,5
haha,noun,2.357142857,4
hajimeru,verb,1.5,2
hana,noun,2.857142857,5
hanashi,noun,1.05,1
harari,mimetic,2.571428571,4
hayamena,adjective,0.083333333,1
hikari,noun,2.25,4
hiku,verb,2.352941176,4
hiratai,adjective,2.909090909,5
hirogeru,verb,2.692307692,5
hiroi,adjective,2.538461538,4
hitoshii,adjective,1.214285714,2
hitotsu,noun,2.230769231,4
hiyohiyo,mimetic,1,1
hoka,noun,3,5
jimoto,noun,1.285714286,2
kagiri,noun,1.642857143,3
kako,noun,0.384615385,1
karari,mimetic,0.428571429,1
kasanaru,verb,1.857142857,3
kasaneru,verb,3.3,5
katachi,noun,1.375,2
katsukatsu,mimetic,1.333333333,2
kebakeba,mimetic,2,3
kimazui,adjective,2.222222222,4
kitanai,adjective,1.909090909,3
kiyoi,adjective,2.583333333,4
kotoba,noun,2.727272727,5
kotoshi,noun,1.944444444,3
kuchi,noun,2.2,4
kurai,adjective,2.166666667,4
kusai,adjective,2.083333333,3
machigau,verb,1.2,2
majimena,adjective,1.260869565,2
mamoru,verb,2.714285714,5
marena,adjective,1.083333333,1
marui,adjective,3.666666667,5
matomeru,verb,2.363636364,4
matsuri,noun,2,3
mijikana,adjective,0.833333333,1
miseru,verb,1.461538462,2
mitsumeru,verb,1.923076923,3
mizu,noun,1.5,2
moji,noun,2.642857143,5
mukashi,noun,0.785714286,1
nakama,noun,2.142857143,4
namida,noun,1.8,3
naritatsu,verb,1.181818182,2
nemui,adjective,3.583333333,5
nigatena,adjective,1.235294118,2
noberu,verb,0.928571429,1
noru,verb,2.3,4
nosori,mimetic,0.9,1
nukeru,verb,1.6875,3
pekon,mimetic,1,1
petan,mimetic,2.307692308,4
pikari,mimetic,1.2,2
pokupoku,mimetic,2,3
sadameru,verb,2.625,5
sakana,noun,1.25,2
samui,adjective,2.769230769,5
shinu,verb,2.25,4
shiraberu,verb,2,3
shiroi,adjective,3.083333333,5
shobon,mimetic,2.5,4
takumina,adjective,0.944444444,1
tegami,noun,0.3,1
tegaruna,adjective,0.8,1
toboshii,adjective,1.8,3
tobu,verb,3.2,5
tochi,noun,1.2,2
tomonau,verb,1.090909091,1
tsubuyaku,verb,2,3
tsuma,noun,0.65,1
tsuratsura,mimetic,1,1
tsuyoi,adjective,2.3125,4
wasawasa,mimetic,3.3,5
wasureru,verb,1.545454545,2
yobu,verb,0.416666667,1
yomu,verb,2.125,4
yuku,verb,0.818181818,1
yume,noun,1.777777778,3
yutakana,adjective,2.076923077,3
kotori,mimetic,1.7,3
